"PositionTitle","Name","Organization"
"Special Assistant to the GM","Brandon McCarthy","rangers"
"Special Assistant to the GM","Darren Oliver","rangers"
"Special Assistant to the GM","Ivan Rodriguez","rangers"
"Special Assistant to the GM","Michael Young","rangers"
"Senior Director - Amateur Scouting","Kip Fagg","rangers"
"Senior Director - Medical Operations / Sport Science ","Jamie Reed","rangers"
"Senior Director - Baseball Systems","Todd Slavinsky","rangers"
"Director - Player Development","Matt Blood","rangers"
"Director - Pro Scouting","Ross Fenstermaker","rangers"
"Director - Peak Performance","Josiah Igono ","rangers"
"Director - Minor League Operations ","Paul Kruger","rangers"
"Director - Baseball Analytics","Ryan Murray","rangers"
"Director - International Scouting","Rafic Saab","rangers"
"Director - Travel","Josh Shelton","rangers"
"Director - Pitching Analysis","Todd Walther","rangers"
"Assistant Director - Baseball Operations","Ben Baroody","rangers"
"Assistant Director - Amateur Scouting ","Adam Lewkowicz","rangers"
"Assistant Director - Pro Scouting","Mike Parnell","rangers"
"Assistant Director - International Scouting ","Hamilton Wise","rangers"
"Special Assignment Scout","Curtis Jung","rangers"
"Coordinator - Pacific Rim Operations","Joe Furukawa","rangers"
"International Scout","Hajime Watabe ","rangers"
"Assistant - Internal Scouting","Jonny Clum","rangers"
"Assistant - Player Development","Casey Fox","rangers"
"Run Production Coordinator","Alex Burg","rangers"
"Run Prevention Coordinator ","Brett Hayes","rangers"
"Video Coordinator - Baseball Operations","Adam Brenner","rangers"
"Senior Developer - Baseball Systems","Bradley Ankrom","rangers"
"Senior Developer - Baseball Systems","Kim Eskew","rangers"
"Developer - Baseball Systems","Alexander Booth","rangers"
"Analyst - Baseball Analytics","Bobby Bandelow","rangers"
"Analyst - Baseball Analytics","Vinesh Kanthan","rangers"
"Analyst - Baseball Analytics","Andrew Koo","rangers"
"Analyst - Baseball Analytics","RJ Walsh","rangers"
"Head Athletic Trainer","Matt Lucero","rangers"
"Major League - Assistant Athletic Trainer","Jacob Newburn","rangers"
"Physical Therapist","Regan Wong","rangers"
"Head Strength & Conditioning Coach","Jose Vazquez","rangers"
"Assistant Strength & Conditioning Coach","Eric McMahon","rangers"
"Massage Therapist","Raul Cardenas","rangers"
"Performance Dietitian ","Stephanie Fernandes","rangers"
"Team Physician","Dr. Keith Meister","rangers"
"Team Physician - Internal Medicine","Dr. David Hunter","rangers"
"Assistant - Team Physician","Dr. Shane Seroyer","rangers"
"Manager - Clubhouse and Equipment ","Brandon Boyd","rangers"
"Assistant Manager - Clubhouse ","Dave Bales","rangers"
"Manager - Visiting Clubhouse ","Kelly Terrell","rangers"
"General Manager","David Forst","athletics"
"Manager","Bob Melvin","athletics"
"Assistant General Manager - Major League and International Operations","Dan Feinstein","athletics"
"Assistant General Manager","Dan Kantrovitz","athletics"
"Assistant General Manager/Director of Player Personnel","Billy Owens","athletics"
"Special Assistant to General Manager","Grady Fuson","athletics"
"Special Assistant to General Manager","Chris Pittaro","athletics"
"Director of Scouting","Eric Kubota","athletics"
"Director of Player Development","Keith Lieppman","athletics"
"Director of Minor League Operations","Zak Basch","athletics"
"Special Assistant to Baseball Operations","Scott Hatteberg","athletics"
"Special Assistant to Professional and International Scouting","Steve Sharpe","athletics"
"Director of Baseball Administration","Pamela Pitts","athletics"
"Director of Team Travel","Mickey Morabito","athletics"
"Director - Baseball Systems","Rob Naberhaus","athletics"
"Research Scientist","David Jackson-Hanen","athletics"
"Baseball Operations Analyst","Pike Goldschmidt","athletics"
"Baseball Operations Analyst","Ben Lowry","athletics"
"Scouting Coordinator","Haley Alvarez","athletics"
"Scouting Assistant","Greg Ledford","athletics"
"Video Coordinator","Adam Rhoden","athletics"
"Minor League Technology & Development Manager","Ed Gitlitz","athletics"
"Minor League Video Assistant","Taylor Schmid","athletics"
"Executive Assistant","Betty Shinoda","athletics"
"Player Development Coordinator","Nancy Moriuchi","athletics"
"Equipment Manager","Steve Vucinich","athletics"
"Visiting Clubhouse Manager","Mike Thalblum","athletics"
"Assistant Equipment Manager","Brian Davis","athletics"
"Umpire & Clubhouse Assistant","Matt Weiss","athletics"
"Senior Facility Manager - Arizona","James Gibson","athletics"
"Merchandise and Minor League Equipment Coordinator","Thomas Miller","athletics"
"Arizona Clubhouse Manager","Chad Yaconetti","athletics"
"Head Trainer","Nick Paparesta","athletics"
"Strength & Conditioning Coach","Josh Cuffe","athletics"
"Major League Massage Therapist","Ozzie Lyles","athletics"
"Senior Coordinator of Medical Services","Larry Davis","athletics"
"Team Physician","Dr. Allan Pont","athletics"
"Team Orthopedist","Dr. Jon Dickinson","athletics"
"Team Orthopedist","Dr. Will Workman","athletics"
"Arizona Team Physician","Dr. Fred Dicke","athletics"
"Internal Medicine Consultant","Dr. Elliott Schwartz","athletics"
"Vice President - Scouting","Tom Allison","mariners"
"Special Assistant to the GM","Roger Hansen","mariners"
"Special Assistant to the GM","Tom McNamara","mariners"
"Manager","Scott Servais","mariners"
"Assistant General Manager","Justin Hollander","mariners"
"Assistant General Manager","Joe Bohringer","mariners"
"Director - Amateur Scouting","Scott Hunter","mariners"
"Director - Player Development","Andy McKay","mariners"
"Director - International Amateur Scouting","Frankie Thon","mariners"
"Director - Dominican Republic Administration","Martin Valerio","mariners"
"Manager - Baseball Operations","Tim Stanton","mariners"
"Manager - Analytics","Joel Firman","mariners"
"Coordinator - Special Projects International","Ted Heid","mariners"
"Coordinator - Dominican Republic","Eddy Toledo","mariners"
"Coordinator - Venezuela","Emilio Carrasquel","mariners"
"Coordinator - Advanced Scouting","Frankie Piliere","mariners"
"Coordinator - Scouting","Andrew Herrera","mariners"
"Coordinator - Baseball Operations","David Hesslink","mariners"
"Player Personnel Coordinator-Central","Jason Karegeannes","mariners"
"Player Personnel Coordinator-West","Brendan Domaracki","mariners"
"Administrator - Player Development","Jan Plein","mariners"
"Medical Director","E. Edward Khalfayan - M.D.","mariners"
"Team Physician","Timothy Johnson - M.D.","mariners"
"Senior Director of Athletic Training","Rick Griffin","mariners"
"Athletic Trainer","Rob Nodine","mariners"
"Physical Therapist","Ryan Bitzel","mariners"
"Assistant Strength and Conditioning Coach","Derek Cantieni","mariners"
"Athletic Trainer","Yoshihiro Nakazawa","mariners"
"Assistant Athletic Trainer - Rehab","Matt Toth","mariners"
"Major League Performance Specialist","James Clifford","mariners"
"Athletic Performance Data Analyst","Anthony Ortiz","mariners"
"Home Clubhouse Manager","Ryan Stiles","mariners"
"Assistant Clubhouse Manager","Billy Sepich","mariners"
"Assistant Clubhouse Manager","Pete Fortune","mariners"
"Video Coordinator - Major Leagues","Jimmy Hartley","mariners"
"Video Coordinator - Minor Leagues","Craig Manning","mariners"
"Batting Practice Pitcher","Nasusel Cabrera","mariners"
"Director - Baseball Analytics","Jesse Smith","mariners"
"Director - Major League Operations","Jack Mosimann","mariners"
"Player Personnel Manager","Emanuel Sifuentes","mariners"
"Baseball Analyst","John Choiniere","mariners"
"Baseball Analyst","Emily Curtis","mariners"
"Assistant - Advanced Scout","Skylar Shibayama","mariners"
"Analyst","Forest Diamond","mariners"
"Baseball Operations Analyst","Benjamin Aronow","mariners"
"Vice President & General Manager","Matt Klentak","phillies"
"Assistant General Manager","Bryan Minniti","phillies"
"Assistant General Manager","Scott Proefrock","phillies"
"Assistant General Manager","Ned Rice","phillies"
"Senior Advisor","Pat Gillick","phillies"
"Senior Advisor to the General Manager","Larry Bowa","phillies"
"Senior Advisor to the General Manager","Charlie Manuel","phillies"
"Special Assistant to the General Manager","Bart Braun","phillies"
"Special Assistant to the General Manager","Pete Mackanin","phillies"
"Special Assistant to the General Manager","Jorge Velandia","phillies"
"Mental Skills Coach","Geoff Miller","phillies"
"Major League Player Information Coordinator","Sam Fuld","phillies"
"Manager - Advance Scouting","Mike Calitri","phillies"
"Advance Scouting Coordinator","Josh Studnitzer","phillies"
"Manager - Player Procurement","Chris Cashman","phillies"
"Spanish Language Interpreter","Diego Ettedgui","phillies"
"Fellow - Baseball Operations","Frankie Scimeca","phillies"
"Director - Amateur Scouting","Johnny Almaraz","phillies"
"Director - Amateur Scouting Administration","Rob Holiday","phillies"
"Assistant Director - Amateur Scouting","Greg Schilz","phillies"
"Director - International Scouting","Sal Agostinelli","phillies"
"Director - Professional Scouting","Mike Ondo","phillies"
"Director - Player Development","Josh Bonifay","phillies"
"Director - Minor League Operations","Lee McDaniel","phillies"
"Special Assistant to Player Development","Steve Noworyta","phillies"
"Assistant Director - Minor League Operations/Florida","Joe Cynar","phillies"
"Assistant Director - International Operations","Ray Robles","phillies"
"Manager - Language Education and Cultural Assimilation","Kiah Villaman","phillies"
"Coordinator - Player Development","Dana Parks","phillies"
"Minor League Video Coordinator","Josh Lipman","phillies"
"Minor League Player Information Coordinator","Ben Werthan","phillies"
"Player Information Assistant","Ed Lucas","phillies"
"Player Information Assistant","Rob Segedin","phillies"
"Minor League Dietician","Ellen Rice","phillies"
"Mental Skills Coach","Hannah Huesman","phillies"
"Facility Operations Assistant - Carpenter Complex","Josh Glazman","phillies"
"Minor League Administrator","Edwin Soto","phillies"
"Minor League Equipment Assistant - Clearwater","Vincent Pezzino","phillies"
"Head Groundskeeper - Carpenter Complex","Ray Sayre","phillies"
"Assistant Head Groundskeeper - Carpenter Complex","Isaac McClain","phillies"
"Director - Baseball Research & Development","Andy Galdi","phillies"
"Principal Engineer - Baseball Research & Development","Zo Obradovic","phillies"
"Senior Quantitative Analyst - Baseball Research & Development","Alex Nakahara","phillies"
"Lead Software Engineer - Application Development","Spencer Bard","phillies"
"Lead Quantitative Analyst - Amateur Scouting","Lewis Pollis","phillies"
"Lead Software Engineer - Infrastructure","Natan Weinberger","phillies"
"Quantitative Analyst - Baseball Operations","Corinne Landrey","phillies"
"Quantitative Analyst","Patrick McFarlane","phillies"
"Quantitative Analyst","Mike Czahor","phillies"
"Quantitative Analyst","Kiri Oler","phillies"
"Quantitative Analyst","Hannah Gaudet","phillies"
"Quantitative Analyst","Ryan Plunkett","phillies"
"Software Engineer","Marcus Wyche","phillies"
"Software Engineer","Chris Schlitt","phillies"
"Software Engineer","Jonathan Chemburkar","phillies"
"Manager - Clubhouse Services","Phil Sheridan","phillies"
"Manager - Equipment & Umpire Services","Dan O'Rourke","phillies"
