"PositionTitle","Name","Organization"
"Director - Partnership Sales ","Dave Tamburrino","brewers"
"Senior Manager - Partnership Activation ","Mary DeLaat","brewers"
"Manager - Partnership Activation ","David Barnes","brewers"
"Manager - Partnership Activation ","Carrie Strueder","brewers"
"Manager - Sales Strategy and Support ","Kelly Guttenberg","brewers"
"Coordinator - Partnership Activation ","Emily McBride","brewers"
"Coordinator - Partnership Activation ","Sarah Lucareli","brewers"
"Graphic Designer - Partnership Sales ","Christina Peters","brewers"
"Executive Assistant ","Lisa Brzeski","brewers"
"Administrative Assistant ","Amy Fredericksen","brewers"
"Director - Consumer Insights and Strategy ","Marla Grossberg","brewers"
"Senior Manager - Data Science ","Michael Dairyko","brewers"
"Senior Manager - Strategy and Analytics ","Maxwell Stejskal","brewers"
"Data Scientist ","Sara Halloran","brewers"
"Coordinator - Business Intelligence Systems ","Danny Henken","brewers"
"Analyst - Strategy and Analytics ","Evan Alvarez","brewers"
"Vice President - Ticket Sales ","Jim Bathey","brewers"
"Senior Director - Ticket Sales ","Billy Friess","brewers"
"Senior Director - Ticket Services and Technology ","Jessica Brown","brewers"
"Director - Group Ticket Sales ","Chris Kimball","brewers"
"Director - Suite Sales ","Chris Rothwell","brewers"
"Director - Suite Services ","Kristin Miller","brewers"
"Director - Premium Sales and Special Events ","Maxx Rodriguez","brewers"
"Senior Manager - Ticket Services Group and Premium Sales ","Christine Verbos","brewers"
"Senior Manager - Ticket Services Season and Single Sales ","Eric Laue","brewers"
"Senior Manager - Inside Sales ","Dan Winkelman","brewers"
"Manager - Digital Ticketing and Technology ","Jerod Schultz","brewers"
"Manager - Season and Group Events ","Nicolette Finocchiaro","brewers"
"Manager - Single Game Sales and Promotions ","Stephanie Strupp","brewers"
"Manager - Suite Sales ","Josh Stoller","brewers"
"Manager - Ticket Operations Group and Premium Sales ","Nancy Jorgensen","brewers"
"Manager - Ticket Operations Season and Single Sales ","Tom Carter","brewers"
"Manager - Ticket Partnerships ","Connor Gorrell","brewers"
"Senior Account Executive - Client Services ","Jason Fry","brewers"
"Senior Account Executive - Client Services ","Nate Hardwick","brewers"
"Senior Account Executive - Client Services ","Jeff Hibicke","brewers"
"Senior Account Executive - Client Services ","Kara Kabitzke","brewers"
"Senior Account Executive - Client Services ","Jason Massopust","brewers"
"Senior Account Executive - Client Services ","Hannah Bumgardner","brewers"
"Senior Account Executive - Group Sales ","Bill Adler","brewers"
"Senior Account Executive - Group Sales ","Jake Mentch","brewers"
"Senior Account Executive - Group Sales ","Nick Spiegelhoff","brewers"
"Senior Account Executive - Group Sales ","Zak Thomas","brewers"
"Senior Account Executive - Ticket Sales ","Chris Breuer","brewers"
"Senior Account Executive - Ticket Sales ","Bill Junker","brewers"
"Senior Account Executive - Ticket Sales ","Greg Souza","brewers"
"Senior Account Executive - Ticket Sales ","Michelle Vogds","brewers"
"Senior Account Executive - New Busines Development ","Zack Nauert","brewers"
"Account Executive - Client Services ","Steve Rosenthal","brewers"
"Senior Ticket Services Specialist ","Kailee Komassa","brewers"
"Coordinator - Ticket Services Windows ","Marissa Milano","brewers"
"Coordinator - Ticket Services Phones ","Ryan Cameron","brewers"
"Coordinator - Suite Services ","Kaylea Ott","brewers"
"Assistant - Suite Sales and Services ","Kristen Veres","brewers"
"Sales Representative - Ticket Sales ","Mishayla Jones","brewers"
"Sales Representative - Ticket Sales ","Hannah Olson","brewers"
"Sales Representative - Ticket Sales ","Teddy Sibilsky","brewers"
"Sales Representative - Ticket Sales ","Shannon Gibney","brewers"
"Sales Representative - Ticket Sales ","April Trewyn","brewers"
"Sales Representative - Ticket Sales ","Cal Schultz","brewers"
"Sales Representative - Ticket Sales ","Paul Olson","brewers"
"Sales Representative - Ticket Sales ","Lacey Pompe","brewers"
"Sales Representative - Ticket Sales ","Adam Kulek","brewers"
"Ticket Sales and Promotions Specialist ","Jacob Kirchen","brewers"
"Ticket Services Specialist ","Tom Librizzi","brewers"
"Ticket Services Specialist ","John Schmid","brewers"
"President Baseball Operations","Theo Epstein","cubs"
"Executive Vice President General Manager","Jed Hoyer","cubs"
"Assistant General Manager","Randy Bush","cubs"
"Assistant General Manager","Scott Harris","cubs"
"Director Pro Scouting and Baseball Operations - Jeff Greenberg",NA,"cubs"
"Director Major League Travel","Vijay Tekchandani","cubs"
"Senior Advisor","Billy Williams","cubs"
"Assistant Director Baseball Operations","Greg Davey","cubs"
"Manager Baseball Operations Administration/Executive Assistant to President/GM","Meghan Jones","cubs"
" Coordinator Baseball Operations","Alex Smith","cubs"
" Trainee Baseball Operations","Sam Abrams","cubs"
"MLB Diversity Fellow","Katie Carlson","cubs"
"Senior Vice President Player Development and Amateur Scouting","Jason McLeod","cubs"
"Senior Director Player Personnel - Kyle Evans",NA,"cubs"
"Director Amateur Scouting","Matt Dorey","cubs"
"Director Player Development","Jaron Madison","cubs"
"Director International Pro Scouting/Player Development","Alex Suarez","cubs"
"Director International Scouting and Special Assistant to President/GM","Louie Eljaua","cubs"
"Director Special Projects/Assistant Director Player Development","Bobby Basham","cubs"
"Assistant Director Amateur Scouting","Lukas McKnight","cubs"
"Assistant Director Pro Scouting","Andrew Bassett","cubs"
"Assistant Director Advance Scouting Run Production","Nate Halm","cubs"
"Assistant Director Run Prevention","Brad Mills ","cubs"
"Manager Minor League Administration","Derrick Fong","cubs"
"Coordinator Major League Video/Pacific Rim Liaison","Nao Masamoto","cubs"
"Coordinator Scouting Video","Mitchell Duggins","cubs"
"Latin America Field Coordinator","Dave Keller","cubs"
"Minor League Field Coordinator","Tim Cossins","cubs"
"Outfield and Baserunning Coordinator","Doug Dascenzo","cubs"
"Minor League Infield Coordinator","Jose Flores","cubs"
"Minor League Pitching Coordinator","Jim Brower","cubs"
"National Crosschecker","Sam Hughes","cubs"
"National Crosschecker","Ron Tostenson","cubs"
"Head Minor League Athletic Training and Performance Coordinator","Chuck Baughman","cubs"
"Minor League Strength and Conditioning Coordinator","Doug Jarrow","cubs"
"Assistant Player Development","Ella Cahill","cubs"
"Assistant Amateur Scouting","Adam Unes","cubs"
"Assistant International Scouting","Kenny Socorro","cubs"
"Coordinator Dominican Republic Scouting","Miguel Diaz ","cubs"
"Assistant Player Development","Ryan Otero","cubs"
"Minor League Equipment Manager","Dana Noeltner","cubs"
"Manager Mesa Baseball Administration","Gil Passarella","cubs"
"Director Research and Development","Chris Moore","cubs"
" Director Baseball Systems Development","Ryan Kruse","cubs"
" Assistant Director Research and Development","Jeremy Greenhouse","cubs"
"Analyst Research and Development","Sean Ahmed","cubs"
" Analyst Research and Development","Chris Jones","cubs"
" Analyst Research and Development","Bryan Cole","cubs"
"Analyst Research and Development","Troy Mulholland","cubs"
"Assistant Analyst Research and Development","Ryan Otero","cubs"
"Developer Baseball Systems - Eli Shayer",NA,"cubs"
" Assistant Developer Baseball Systems","Daniel Codos","cubs"
" Assistant Developer Baseball Systems","Kyle Chin","cubs"
" Assistant Research and Development","Garrett Chiado","cubs"
" Assistant Research and Development","Jacob Eisenberg","cubs"
"Executive Vice President Business Operations and Chief Strategy Officer","Alex Sugarman","cubs"
"Sr. Director Strategy and Development","Jason Sondag","cubs"
"Director Advanced Analytics - Chase Carpenter",NA,"cubs"
"Assistant Director Strategy and Development","Catherine McManmon","cubs"
"Associate","Mike Casey","cubs"
"Specialist Investor Relations and Executive Assistant","Jennifer Scarangella","cubs"
"Director Software Development and Enterprise Data Management","Chris Brummett","cubs"
"Software Architect - Tom Dambra",NA,"cubs"
"Software Engineer - Raaji Khan",NA,"cubs"
"Database Developer","Bob Weiss","cubs"
"Database Developer","Scott Johns","cubs"
"Database Developer","Tim Ford","cubs"
"Senior Vice President Marquee Sports and Entertainment","Cale Vennum","cubs"
"Vice President Partnership Development","Andy Blackburn","cubs"
"Vice President Corporate Partnerships","Alex Seyferth","cubs"
" Coordinator Marquee Sports and Entertainment","Lauren Young","cubs"
"Director Corporate Partnership Development","Ashley Facchini","cubs"
"Account Executive","Chris Bultinck","cubs"
"Account Executive","Cody Sharko","cubs"
"Business Development Specialist","Patrick Anhut","cubs"
"Business Development Specialist","Jake Danforth","cubs"
"Assistant Director Ticket Sales","Chris Weddige","cubs"
"Manger Group Ticket Sales","Jason Tuton","cubs"
" Manager Inside Sales - Aaron Klein",NA,"cubs"
"Senior Account Executive Business Development","Mark Dorfman","cubs"
"Account Executive Business Development","Kyle Mener","cubs"
"Account Executive Business Development","Drew Olstead","cubs"
"Account Executive Business Development","Katie Ottolin","cubs"
"Account Executive Business Development","Samuel Schlechter","cubs"
"Account Executive Business Development","Mike Sullivan","cubs"
"Account Executive Business Development","Shelby Westmoreland","cubs"
"Account Executive Business Development","Charles Zubrod","cubs"
"Group Sales Representative","Andrew Barrett","cubs"
"Group Sales Representative","Elaine Gitles","cubs"
"Group Sales Representative","Chandler Kane","cubs"
"Group Sales Representative","Josh Landrum","cubs"
"Group Sales Representative","Oliver Page","cubs"
"Group Sales Representative","Megan Podgorski","cubs"
"Group Sales Representative","Breanna Robinson","cubs"
"Group Sales Representative","Adam Roessler","cubs"
"Group Sales Representative","Rachel Schwartz","cubs"
" Director - Amateur Scouting","Rob Metzler","rays"
" Director - Baseball Development","Peter Bendix","rays"
"Director - Baseball Research & Development","Will Cousins","rays"
" Director - Baseball Performance Science","Joe Myers","rays"
" Director - Baseball Systems","Brian Plexico","rays"
" Director - Development Strategy","Sanford Sternberg","rays"
" Director - International Scouting","Carlos Rodriguez","rays"
" Director - Minor League Operations","Mitch Lukevics","rays"
" Director - Pro Scouting","Kevin Ibach","rays"
" Director - Staff Development and Recruiting","Chanda Lawdermilk","rays"
" Director - Team Travel and Logistics","Chris Westmoreland","rays"
" Assistant Director - Pro Scouting","Ryan Bristow","rays"
" Assistant Director - Hitting Development","Cole Figueroa","rays"
"Assistant Director - Baseball Research & Development","Anirudh Kilambi","rays"
" Assistant Director - Minor League Operations","Jeff McLerran","rays"
" Assistant Director - Amateur Scouting","Hamilton Marx","rays"
" Assistant Director - International Operations","Patrick Walters","rays"
" Senior Advisor - Scouting/Baseball Operations","R.J. Harrison","rays"
" Special Assistant - Baseball Operations","Tom Foley","rays"
" Special Assistant - General Manager","Bobby Heck","rays"
" Special Assignment Scout","Fred Repke","rays"
" Pro/International Crosschecker","Mike Brown","rays"
" Pro Crosschecker","Jason Cole","rays"
" National Crosschecker","Chuck Ricci ","rays"
"Field Coordinator","Michael Johns","rays"
" Coordinator - Baseball Administration","Samantha Bireley","rays"
" Coordinator - Amateur Scouting","Jeff Johnson","rays"
" Coordinator - Baseball Performance Science","Ryan Pennell","rays"
" Coordinator - Baseball Development","Simon Rosenbaum","rays"
" Coordinator - Major League Operations","Jeremy Sowers ","rays"
" Database Architect - Baseball Systems","Clayton Elger","rays"
" Data Technician - Baseball Research and Development","Michael Topol","rays"
"Lead Analytics Developer - Baseball Systems","Michael Vanger","rays"
"Developer - Baseball Systems","Brandon Cordell","rays"
" Developer - Baseball Systems","Ryan Kelley","rays"
"Developer - Baseball Systems","Daniel Nolan","rays"
" Developer - Baseball Systems","Nick Siefken","rays"
"Biomechanist","Mike McNally ","rays"
" Analyst - Baseball Development","Jeff Sullivan","rays"
" Analyst - Baseball Performance Science","Winston Doom","rays"
"Analyst - Baseball Research and Development","Michael McClellan","rays"
"Analyst - Baseball Research and Development","David Marshall","rays"
"Analyst - Baseball Research and Development","Taylor Smith","rays"
" Junior Analyst - Baseball Research & Development","Keegan Henderson","rays"
" Junior Analyst - Baseball Research & Development","Salem Marrero","rays"
"Junior Analyst - Baseball Research and Development","Jason Pellettiere","rays"
"Assistant - Baseball Development","Brad Ballew","rays"
"Assistant - Baseball Operations","Tyler Chamberlain-Simon","rays"
"Assistant - International and Minor League Operations","George Pappas","rays"
"Assistant - Performance Science","Vishnu Sarpeshkar","rays"
"Fellow - Baseball Operations","Danielle Dockx","rays"
"Fellow - Baseball Operations","Mark Watson","rays"
" Consultant - Pacific Rim Operations","Jay Shindo","rays"
" Administrator - International and Minor League Operations","Giovanna Rodriguez","rays"
" Administrator - Amateur Scouting","Sydney Malone","rays"
" Medical Director","Dr. James Andrews","rays"
" Orthopedic Team Physician","Dr. Koco Eaton","rays"
" Team Chiropractor","Dr. Christopher Williams","rays"
" Massage Therapist","Ray Allen","rays"
" Head Athletic Trainer","Joe Benge","rays"
" First Assistant Athletic Trainer","Mark Vinson","rays"
" Assistant Athletic Trainer","Mike Sandoval ","rays"
" Major League Medical Coordinator","Paul Harker","rays"
" Major League Strength and Conditioning Coach","Trung Cao","rays"
" Major League Strength and Conditioning Assistant","Joe Greany","rays"
" Lead Sport Dietitian","Ryan Harmon","rays"
"Assistant - Dietitian","Kate Martinez","rays"
" Video Coordinator","Brett Ebers","rays"
" Video Coordinator","Chris Fernandez ","rays"
" Home Clubhouse Manager","Ryan Denlinger","rays"
" Home Equipment Manager","Tyler Wall","rays"
" Assistant Home Clubhouse Manager","Ryan Riddle","rays"
" Visitor Clubhouse Manager","Guy Gallagher","rays"
"Assistant General Manager"," Carter Hawkins","indians"
"Assistant General Manager"," Matt Forman","indians"
"Director - Team Travel"," Mike Seghi","indians"
"Director - Baseball Administration"," Wendy Hoppel","indians"
"Principal Data Scientist - Baseball Analytics"," Keith Woolner","indians"
"Senior Director - International Scouting"," Paul Gillispie","indians"
"Senior Director - Scouting Operations"," John Mirabelli","indians"
"Director - Amateur Scouting"," Scott Barnsby","indians"
"Director - Learning and Development"," Josh Gibson","indians"
"Director - Player Development"," James Harris","indians"
"Director - Baseball Operations"," Alex Merberg","indians"
"Director - Pro Scouting"," Victor Wang","indians"
"Assistant Director - Player Development"," Matt Blake","indians"
"Assistant Director - International Scouting"," Richard Conway","indians"
"Assistant Director - Player Development"," Alex Eckelman","indians"
"Assistant Director - International Scouting"," Chris Gale ","indians"
"Assistant Director - Baseball Operations"," Sam Giller","indians"
"Assistant Director - Amateur Scouting"," Clint Longenecker","indians"
"Assistant Director - Baseball Research and Development"," Kevin Tenenbaum","indians"
"Education and Language Coordinator"," Anna Bolton","indians"
"Coordinator - Professional Scouting"," Dan Budreika","indians"
"Assistant - Player Development"," Rob Cerfolio","indians"
"Assistant - Amateur Scouting"," Will Clements ","indians"
"Assistant - Baseball Operations"," Nate Freiman","indians"
"Assistant - Baseball Operations"," Zach Morton","indians"
"Special Assistant to President of Baseball Operations/ GM"," Steve Lubratich","indians"
"Special Assistant to President of Baseball Operations/ GM"," Dave Malpass","indians"
"Special Assistant to President of Baseball Operations/ GM"," Don Poplin","indians"
"Special Assistant to President of Baseball Operations/ GM"," Tom Wiedenbauer","indians"
"Special Assistant to Baseball Operations"," Tim Belcher","indians"
"Special Assistant to Baseball Operations"," Travis Hafner","indians"
"Advisor - Player Development "," Johnny Goryl","indians"
"Advisor - Latin American Operations"," Minnie Mendoza","indians"
"Advisor - Player Development "," Tim Tolman ","indians"
"Special Assistant to Player Development - Infield"," Travis Fryman ","indians"
"Special Assistant to Player Development - Catching"," Dave Wallace ","indians"
"Executive Administrative Assistant"," Marlene Lehky","indians"
"Administrative Assistant - Player Development"," Nilda Taffanelli","indians"
"Sports & Performance Psychologist; Sr. Director - Personal & Org. Performance "," Dr. Charles Maher","indians"
"Performance Coach"," Ceci Clark","indians"
"Performance Coach"," Brian Miles","indians"
"Performance Coach"," Oscar Gutierrez Ramirez","indians"
"Short-Season Defensive Coordinator"," Kai Correa","indians"
"Analyst - Baseball Research & Development"," Kyle Burris","indians"
"Sr. Vice President & Assistant General Manager","Jared Porter","dbacks"
"Sr. Vice President & Assistant General Manager","Amiel Sawdaye","dbacks"
"Vice President - Player Development","Mike Bell","dbacks"
"Vice President - Latin Operations","Junior Noboa","dbacks"
"Special Assistant to the General Manager","Burke Badenhop","dbacks"
"Special Assistant to the General Manager","Craig Shipley","dbacks"
"Director - Baseball Operations","Sam Eaton","dbacks"
"Director - Research and Development","Mike Fitzgerald","dbacks"
"Director - Latin America Scouting","Cesar Geronimo","dbacks"
"Director - Pacific Rim Operations","Mack Hayashi","dbacks"
"Director - Amateur Scouting","Deric Ladnier","dbacks"
"Director - Professional Scouting","Jason Parks","dbacks"
"Pitching Strategist","Dan Haren","dbacks"
"Assistant Director - Pro Scouting","Josh Barfield","dbacks"
"Assistant Director - International Scouting","Peter Wardell","dbacks"
"Sr. Manager - Player Development","Shawn Marette","dbacks"
"Baseball Systems - Lead Architect","John Krazit","dbacks"
"Baseball Systems - Developer ","Thomas Johnson","dbacks"
"Baseball Systems - Developer ","Brandon Colton","dbacks"
"Coordinator - Pro Scouting","Cory Hahn","dbacks"
"Coach - Mental Skills","Charles Jauss","dbacks"
"Coordinator - Mental Skills","Zach Brandon","dbacks"
"Coordinator - Amateur Scouting & Baseball Administration","Kristyn Pierce","dbacks"
"Coordinator - Amateur Scouting","Ian Rebhan","dbacks"
"Mathematical Modeler - Baseball Analytics","Cody Callahan","dbacks"
"Quantitative Researcher - Baseball Analytics","Max Glick","dbacks"
"Assistant - Player Development","Peter Bransfield","dbacks"
"Assistant - Baseball Operations","Chris Slivka","dbacks"
"Analyst - Baseball Operations and Research & Development","Max Phillips","dbacks"
"Analyst - Pitching","Ross Seaton","dbacks"
"Diversity Pipeline Fellow","Alex Lorenzo","dbacks"
"Senior Advisor - Pacific Rim Operations","Jim Marshall","dbacks"
"Major League Scout","Bill Bryk","dbacks"
"Major League Scout","Bill Chief Gayton","dbacks"
"Special Assignment Scout","Todd Greene","dbacks"
"Special Assignment Scout","Alexander Jacobs","dbacks"
"Major League Scout","Mike Piatnik","dbacks"
"Special Assignment Scout","Mark Snipp","dbacks"
"Special Assignment Scout","Tim Wilken","dbacks"
"Special Assignment Scout","Daniel Haas","dbacks"
"Pro Scout","Tucker Blair ","dbacks"
"Pro Scout","Mike Brown ","dbacks"
"Pro Scout/Independent League Scouting Coordinator","Chris Carminucci","dbacks"
"Major League Advance Scout","Jeff Gardner","dbacks"
"Pro Scout","Jack Goin","dbacks"
"Pro Scout","Drew Hedman","dbacks"
"Pro Scout","Bradley Kelley","dbacks"
"Pro Scout","Rob Leary","dbacks"
"Pro Scout","T.R. Lewis ","dbacks"
"Pro Scout ","Matthew Mercurio ","dbacks"
"Pro Scout ","Daniel Ramsay ","dbacks"
"Pro Scout","Tom Romenesko","dbacks"
"Pro Scout","Scipio Spinks","dbacks"
"Pro Scout","Brett West","dbacks"
"Pro Scout","Matthew Hahn","dbacks"
"Pro Scout ","Jacob Frisaro","dbacks"
"Scout Ahead Professional Scout","Gaby Hernandez","dbacks"
"Amateur Scouting Supervisor - East Coast","Steve Connelly","dbacks"
"National Scouting Supervisor","Clark Crist","dbacks"
"Amateur Scouting Supervisor - Southeast","Frank Damas ","dbacks"
"National Scouting Supervisor","Greg Lonigro ","dbacks"
"Amateur Scouting Supervisor - Midwest","Steve McAllister","dbacks"
"National Scouting Supervisor","James Merriweather III ","dbacks"
"National Pitching Supervisor","Jeff Mousser","dbacks"
"Amateur Scouting Supervisor - West Coast","Doyle Wilson","dbacks"
"Amateur Scout","Hudson Belinsky ","dbacks"
"Amateur Scout","Nate Birtwell","dbacks"
"Amateur Scout","Eric Cruz","dbacks"
"Amateur Scout","Orsino Hill","dbacks"
"Amateur Scout","Kerry Jenkins","dbacks"
"Amateur Scout","Jeremy Kehrt","dbacks"
"Amateur Scout - Part-Time Scout","Hal Kurtzman","dbacks"
"Amateur Scout","Jeremiah Luster","dbacks"
"Amateur Scout - Part-Time Scout","Doug Mathieson","dbacks"
"Amateur Scout","Rick Matsko","dbacks"
"Amateur Scout - Part-Time Scout","Homer Newlin","dbacks"
"Amateur Scout - Part-Time Scout","Jerry Nyman","dbacks"
"Amateur Scout","Rusty Pendergrass","dbacks"
"Amateur Scout","Donnie Reynolds","dbacks"
"Amateur Scout","Mark Ross","dbacks"
"Amateur Scout","J.R. Salinas","dbacks"
"Amateur Scout","Dennis Sheehan","dbacks"
"Amateur Scout","George Swain ","dbacks"
"Amateur Scout","Garry Templeton II","dbacks"
"Amateur Scout","Jake Williams","dbacks"
"Amateur Scout","Luke Wrenn","dbacks"
"Amateur Scout","Gil Kubski ","dbacks"
"Amateur Scout ","Mike Meyer","dbacks"
"Scout Team Manager","Rex Gonzalez","dbacks"
"Crosschecker - Latin America","Luis Báez","dbacks"
"Crosschecker - Latin America","Francisco Cartaya","dbacks"
"Crosschecker - International","Miguel Cadahia","dbacks"
"Scouting Supervisor - Venezuela","Antonio Tony Caballero","dbacks"
"Scouting Coordinator - Dominican Republic","Omar Rogers","dbacks"
"International Scout - Dominican Republic","Diego Bordas ","dbacks"
"International Scout - Dominican Republic","Rafael Mateo","dbacks"
"International Scout - Dominican Republic","José Ortiz ","dbacks"
"International Scout - Dominican Republic","Ronald Rivas","dbacks"
"International Scout - Venezuela","Grégory Blanco","dbacks"
"International Scout - Venezuela","Dídimo Bracho Jr.","dbacks"
"International Scout - Venezuela","David Chicarelli","dbacks"
"International Scout - Venezuela","Alfonso Mora","dbacks"
"International Scout - Venezuela","Kristians Pereira","dbacks"
"International Scout - Mexico","Ray Padilla","dbacks"
"International Scout - Colombia","Luis González Arteaga","dbacks"
"International Scout - Panama","José Díaz Pérez","dbacks"
"International Scout - Nicaragua","Julio Sánchez ","dbacks"
"International Scout - Curacao","Bradley Stuart","dbacks"
"International Scout - Korea","Kyle Lee","dbacks"
"International Scout - Taiwan","Tzu-Yao Wei","dbacks"
"International Scout - Australia","Andy Kyle","dbacks"
"International Scout - Australia","Mark Shipley","dbacks"
"Minor League Infield Coordinator","Gil Velázquez","dbacks"
"Minor League Pitching Coordinator","Dan Carlson ","dbacks"
"Minor League Short-Season Pitching Coordinator","Wellington Cepeda","dbacks"
"Minor League Hitting Coordinator","Chris Cron","dbacks"
"Minor League Player Development Assistant","Orlando Hudson","dbacks"
"Minor League Player Mentor","Daniel Bard","dbacks"
"Minor League Medical Coordinator","Kyle Torgerson","dbacks"
"Minor League Assistant Medical Coordinator","Ryne Eubanks","dbacks"
"Minor League Physical Therapist","Max Esposito","dbacks"
"Minor League Medical Administrator","Jon Herzner","dbacks"
"Minor League Strength & Conditioning Coordinator","Vaughn Robinson","dbacks"
"Minor League Rehabilitation Pitching Coordinator","Brad Arnsberg","dbacks"
"Hillsboro Consultant","Ben Petrick","dbacks"
"Minor League Complex Coordinator","Bob Bensinger","dbacks"
"Minor League Clubhouse Assistant","James Cameron","dbacks"
"Minor League Clubhouse Assistant","Mike Young","dbacks"
"Minor League Baseball Operations Video Coordinator","Cory Swope","dbacks"
"Minor League Asst. Video Coordinator","Jason Gallagher","dbacks"
"Minor League Interpreters","Keijiro Kitashiro","dbacks"
"Minor League Interpreters","Daniel Chu","dbacks"
"Trainer - Triple-A Reno","Paul Porter","dbacks"
"Strength & Conditioning Coach - Triple-A Reno","Steven Candelaria","dbacks"
"Trainer - Double-A Jackson","Joe Rosauer","dbacks"
"Strength & Conditioning Coach - Double-A Jackson","Mike Locasto","dbacks"
"Trainer - Single-A Advanced Visalia","Chris Schepel","dbacks"
"Strength & Conditioning Coach - Single-A Advanced Visalia","Derek Somerville","dbacks"
"Trainer - Single-A Kane County","Kelly Boyce","dbacks"
"Strength & Conditioning Coach - Single-A Kane County","Tim Queck","dbacks"
"Trainer - Short-Season A Hillsboro","Michael Powell","dbacks"
"Strength & Conditioning Coach - Short-Season A Hillsboro","Derek Clovis","dbacks"
"Trainer - Rookie-Advanced Missoula","Damon Reel","dbacks"
"Strength & Conditioning Coach - Rookie-Advanced Missoula","Nathan Friedman","dbacks"
"Strength & Conditioning Coach - Rookie-Level AZL D-backs","Logan Jones","dbacks"
"Manager - Triple-A Reno","Greg Gross","dbacks"
"Pitching Coach - Triple-A Reno","Gil Heredia","dbacks"
"Hitting Coach - Triple-A Reno","Jason Camilli","dbacks"
"Manager - Double-A Jackson","Shelley Duncan","dbacks"
"Pitching Coach - Double-A Jackson","Doug Drabek","dbacks"
"Hitting Coach - Double-A Jackson","Vince Harrison","dbacks"
"Coach - Double-A Jackson","Javier Colina","dbacks"
"Manager - Single-A Advanced Visalia","Joe Mather","dbacks"
"Pitching Coach - Single-A Advanced Visalia","Jeff Bajenaru","dbacks"
"Hitting Coach - Single-A Advanced Visalia","Franklin Stubbs","dbacks"
"Coach - Single-A Advanced Visalia","Travis Denker","dbacks"
"Manager - Single-A Kane County","Blake Lalli","dbacks"
"Pitching Coach - Single-A Kane County","Rich Sauveur","dbacks"
"Hitting Coach - Single-A Kane County","Rick Short","dbacks"
"Coach - Single-A Kane County","Jorge Cortés","dbacks"
"Manager - Short-Season A Hillsboro","Shawn Roof","dbacks"
"Pitching Coach - Short-Season A Hillsboro","Mike Parrott","dbacks"
"Hitting Coach - Short-Season A Hillsboro","Micah Franklin","dbacks"
"Coach - Short-Season A Hillsboro","Carlos Mesa","dbacks"
"Manager - Rookie-Advanced Missoula","Mike Benjamin","dbacks"
"Pitching Coach - Rookie-Advanced Missoula","Shane Loux","dbacks"
"Hitting Coach - Rookie-Advanced Missoula","José Amado","dbacks"
"Manager - Rookie-Level AZL D-backs","Darrin Gardner","dbacks"
"Pitching Coach - Rookie-Level AZL D-backs","Manny García","dbacks"
"Hitting Coach - Rookie-Level AZL D-backs","Jonny Gomes","dbacks"
"Coach - Rookie-Level AZL D-backs","Hatuey Mendoza","dbacks"
"DSL Coordinator","Rolando Arnedo","dbacks"
"Manager - Infield Coach - DSL D-backs","Juan Francia","dbacks"
"Scouting/Player Development - DSL D-backs","Wil Tejada","dbacks"
"Manager - DSL D-backs","Rafael Ozuna","dbacks"
"Pitching Coach - DSL D-backs","José Tapia","dbacks"
"Pitching Coach - DSL D-backs","Alvin Alcántara","dbacks"
"Hitting/Catching Coach - DSL D-backs","Juan Ballara","dbacks"
"Hitting Coach - DSL D-backs","Izzy Alcántara","dbacks"
"Infield Coach - DSL D-backs","Ronald Ramirez","dbacks"
"Outfield - Baserunning & Hitting Coach - DSL D-backs","Gregorio Ramírez","dbacks"
"Latin America Medical Coordinator","Spencer Ryan","dbacks"
"Trainer - DSL D-backs","Carlos Perez","dbacks"
"Trainer - DSL D-backs","Adam Brewer","dbacks"
"Assistant Trainer - DSL D-backs","Mario del Rosario","dbacks"
"Strength & Conditioning Coach - DSL D-backs","Edgar Soto","dbacks"
"Assistant Strength & Conditioning Coach - DSL D-backs","Santos Henríquez","dbacks"
"Administrator & Video Assistant - DSL D-backs","José Ángel Díaz","dbacks"
"Assistant - Latin Operations - DSL D-backs","Mariana Patraca","dbacks"
"Academic Administrator - DSL D-backs","Marcos Rosa","dbacks"
