Position Title,Name,Organization
Senior Advisor to the General Manager,Charlie Manuel,phillies

Special Assistant to the General Manager,Bart Braun,phillies

Special Assistant to the General Manager,Pete Mackanin,phillies

Special Assistant to the General Manager,Jorge Velandia,phillies

Mental Skills Coach,Geoff Miller,phillies

Major League Player Information Coordinator,Sam Fuld,phillies

Manager - Advance Scouting,Mike Calitri,phillies

Advance Scouting Coordinator,Josh Studnitzer,phillies

Manager - Player Procurement,Chris Cashman,phillies

Spanish Language Interpreter,Diego Ettedgui,phillies

Fellow - Baseball Operations,Frankie Scimeca,phillies

phillies

Director - Amateur Scouting,Johnny Almaraz,phillies

Director - Amateur Scouting Administration,Rob Holiday,phillies

Assistant Director - Amateur Scouting,Greg Schilz,phillies

Director - International Scouting,Sal Agostinelli,phillies

Director - Professional Scouting,Mike Ondo,phillies

phillies

Director - Player Development,Josh Bonifay,phillies

Director - Minor League Operations,Lee McDaniel,phillies

Special Assistant to Player Development,Steve Noworyta,phillies

Assistant Director - Minor League Operations/Florida,Joe Cynar,phillies

Assistant Director - International Operations,Ray Robles,phillies

Manager - Language Education and Cultural Assimilation,Kiah Villaman,phillies

Coordinator - Player Development,Dana Parks,phillies

Minor League Video Coordinator,Josh Lipman,phillies

Minor League Player Information Coordinator,Ben Werthan,phillies

Player Information Assistant,Ed Lucas,phillies

Player Information Assistant,Rob Segedin,phillies

Minor League Dietician,Ellen Rice,phillies

Mental Skills Coach,Hannah Huesman,phillies

Facility Operations Assistant - Carpenter Complex,Josh Glazman,phillies

Minor League Administrator,Edwin Soto,phillies

Minor League Equipment Assistant - Clearwater,Vincent Pezzino,phillies

Head Groundskeeper - Carpenter Complex,Ray Sayre,phillies

Assistant Head Groundskeeper - Carpenter Complex,Isaac McClain,phillies

phillies

Director - Baseball Research & Development,Andy Galdi,phillies

Principal Engineer - Baseball Research & Development,Zo Obradovic,phillies

Senior Quantitative Analyst - Baseball Research & Development,Alex Nakahara,phillies

Lead Software Engineer - Application Development,Spencer Bard,phillies

Lead Quantitative Analyst - Amateur Scouting,Lewis Pollis,phillies

Lead Software Engineer - Infrastructure,Natan Weinberger,phillies

Quantitative Analyst - Baseball Operations,Corinne Landrey,phillies

Quantitative Analyst,Patrick McFarlane,phillies

